,acc1,acc2,acc3,acc4
248448,18;8;0,20;6;4,15;5;3,21;1;4
248714,,,,
248721,15;0;4,19;-8;8,21;3;2,17;4;1
248989,,,,
248991,21;-7;7,11;6;0,16;3;-1,10;2;2
249264,,,,
249273,13;3;3,13;4;-1,11;1;5,10;-7;1
249540,,,,
249543,9;7;5,13;0;2,7;1;-2,9;-2;3
249812,,,,
249821,8;-4;2,1;2;6,6;8;1,6;0;4
250090,,,,
250093,5;0;2,6;0;-1,-1;0;-2,5;4;7
250364,,,,
250368,2;6;-5,-4;3;2,2;6;-3,-7;2;1
250641,,,,
250644,0;1;-7,-7;-2;-16,-7;-3;-3,-3;4;-1
250914,,,,
250917,-8;0;1,-6;1;-9,-4;2;-6,-9;-3;2
251185,,,,
251188,-9;5;0,-12;-2;1,1;-2;-3,-5;-10;-4
251454,,,,
251457,-6;-1;-2,-9;-4;0,-4;-1;2,1;-8;-7
251735,,,,
251738,-7;-4;2,-4;-1;-8,-5;6;-5,-6;2;0
252005,,,,
252008,-9;5;-3,-5;0;-2,-7;-5;-3,-8;-1;-4
252284,,,,
252288,-7;-8;-1,-11;1;3,-8;0;2,-8;0;-1
252555,,,,
252558,0;0;-1,-5;5;3,-5;3;0,-2;4;0
252830,,,,
252838,-6;0;4,-6;5;9,-1;10;5,-10;2;6
253108,,,,
253111,-10;6;7,-8;3;0,-5;2;3,-7;7;-1
253375,,,,
253382,-9;8;10,-9;2;-4,0;8;-9,-7;10;2
253649,,,,
253652,-2;3;3,-9;12;1,-7;9;-9,0;-1;-9
253919,,,,
253927,-2;2;5,2;-3;-2,-5;4;6,0;-1;1
254194,,,,
254197,-3;1;4,2;10;-2,-3;1;-1,0;4;3
254470,,,,
254473,1;-3;-15,0;-1;-3,-2;0;-8,-7;3;-2
254745,,,,
254747,-3;5;-7,3;-1;0,5;-6;3,-3;-2;14
255017,,,,
255021,0;1;-5,-1;-6;4,3;10;0,-2;3;5
255298,,,,
255300,3;0;0,-6;16;12,2;0;0,1;0;10
255570,,,,
255574,-1;2;-6,3;0;0,6;-1;-4,1;-2;-8
255851,,,,
255854,-6;-2;2,-4;1;5,0;-2;-1,-13;6;-9
256128,,,,
256131,-13;3;-5,5;7;-1,-23;-12;-2,-4;1;-2
256403,,,,
256406,-1;-11;-5,2;3;-6,-2;0;-9,3;0;0
256671,,,,
256674,6;-2;7,4;-2;-2,6;-1;-9,4;1;-4
256947,,,,
256954,4;-5;-4,6;-1;-1,3;3;1,3;1;7
257219,,,,
257222,5;0;1,5;0;1,-1;7;4,3;4;0
257490,,,,
257500,-1;0;-6,2;3;-1,5;0;5,7;-3;0
257768,,,,
257770,7;2;-2,3;0;-1,3;0;-2,7;1;1
258037,,,,
258040,6;4;3,-1;5;8,4;3;-2,-2;4;6
258311,,,,
258314,0;1;-6,1;5;0,0;1;0,2;7;0
258579,,,,
258582,4;5;-3,1;9;-3,0;0;-5,3;3;-4
258854,,,,
258857,7;8;2,3;-1;2,11;13;18,0;15;3
259124,,,,
259127,1;5;0,13;14;0,5;6;-8,4;7;-7
259407,,,,
259410,6;3;0,3;3;-2,0;6;6,8;4;0
259675,,,,
259678,-2;2;1,10;6;-2,2;7;6,6;5;1
259955,,,,
259958,2;3;3,7;1;1,-3;0;1,3;6;10
260225,,,,
260228,5;9;2,4;3;2,9;7;0,0;1;0
260508,,,,
260515,5;-2;1,4;0;-3,12;2;7,7;3;4
260789,,,,
260791,5;-4;7,6;-4;4,8;2;5,12;6;4
261063,,,,
261072,7;-5;10,3;-6;1,7;0;3,2;0;-2
261339,,,,
261342,13;-3;-2,13;0;-2,11;2;3,17;0;10
261610,,,,
261613,3;-1;2,21;-2;7,12;14;-8,9;-10;-36
261890,,,,
261893,-1;-8;17,16;12;5,17;-5;-25,7;-14;-14
262164,,,,
262167,4;-18;30,3;22;10,-9;15;-8,10;0;-7
262440,,,,
262444,-2;1;-4,-3;9;-1,0;4;10,-3;4;6
262711,,,,
262713,4;0;7,-2;0;1,-4;8;3,6;-6;-15
263004,,,,
263007,5;8;2,-6;3;7,1;9;5,3;-3;-6
263277,,,,
263280,1;2;-7,0;15;9,0;-1;10,-1;-2;41
263559,,,,
263562,-1;3;19,5;0;6,-1;12;-2,-7;4;0
263828,,,,
263831,-6;5;-10,0;6;-5,3;-2;-30,0;1;18
264108,,,,
264111,-5;33;17,-13;1;22,-3;2;11,-2;8;-3
264378,,,,
264381,2;16;-11,-10;6;-9,-2;17;-5,2;11;5
264648,,,,
264656,7;4;-3,7;1;-19,-1;10;6,-2;-4;7
264929,,,,
264932,-7;-3;8,0;0;2,-9;11;0,-3;-5;0
265207,,,,
265214,-11;0;9,-4;3;-2,-4;-4;-9,0;2;-3
265492,,,,
265495,-6;9;-9,-11;1;-15,-9;9;-7,-16;4;-5
265767,,,,
265776,-8;4;3,-5;7;6,-2;7;5,-5;7;3
266044,,,,
266046,2;-2;6,-4;10;-1,-9;-5;-14,-3;2;-5
266318,,,,
266321,-3;3;-5,6;-8;1,-12;10;5,-14;7;-1
266594,,,,
266597,-8;2;9,-7;9;3,-13;7;-1,-4;-6;-5
266869,,,,
266872,-6;-2;-4,-9;7;-7,-14;0;-5,-8;-3;5
267145,,,,
267147,-11;7;4,-19;1;4,-19;3;-2,-19;-18;3
267413,,,,
267416,-4;5;-12,-8;0;-12,-4;21;-34,0;2;-3
267697,,,,
267699,-14;-3;8,-9;9;1,-17;-1;-7,-5;-4;3
267970,,,,
267973,-10;8;-11,-10;7;-13,-11;6;-6,-5;14;2
268246,,,,
268249,-4;-5;4,-4;5;1,0;17;-14,-2;-3;-16
268520,,,,
268523,10;21;9,0;14;-5,-2;1;6,-6;8;-8
268793,,,,
268796,-12;0;-8,-12;7;1,0;-7;-1,-5;8;-9
269060,,,,
269062,-11;-2;14,-9;4;17,1;4;3,1;5;5
269329,,,,
269337,0;8;4,5;3;-11,5;6;1,8;1;-8
269609,,,,
269612,9;4;0,14;3;6,16;11;6,10;1;7
269886,,,,
269893,12;-1;4,15;3;4,8;1;7,10;-2;10
270159,,,,
270162,18;1;3,20;-1;13,22;5;4,20;4;-2
270431,,,,
270440,22;-1;3,21;0;11,24;2;3,24;8;6
270710,,,,
270713,24;2;0,29;3;5,25;5;3,28;1;11
270979,,,,
270982,25;3;11,28;-3;1,25;-4;10,24;0;9
271259,,,,
271262,27;0;7,25;0;7,26;-4;11,27;2;5
271536,,,,
271539,26;0;4,26;0;9,23;1;7,24;0;7
271811,,,,
271814,25;4;4,25;-2;1,28;3;6,27;-3;8
272086,,,,
272089,26;2;11,23;0;7,24;4;6,21;0;15
272361,,,,
272364,27;1;6,21;1;7,20;3;5,20;6;2
272632,,,,
272634,15;4;3,16;0;4,14;-5;5,14;0;3
272914,,,,
272916,10;3;5,8;4;4,6;1;2,8;6;-1
273187,,,,
273189,6;0;2,2;4;-2,2;3;0,0;4;0
273462,,,,
273469,3;3;0,0;2;2,0;2;-1,-2;3;0
273733,,,,
273736,1;0;1,1;1;1,-3;4;2,-1;3;0
274000,,,,
274010,-5;0;-1,-2;6;-2,-2;1;0,0;4;2
274276,,,,
274279,-2;2;1,-2;2;-2,-4;3;-2,-2;1;-4
274551,,,,
274553,-2;1;0,-3;0;-2,-3;3;-4,-3;3;-1
274826,,,,
274829,-2;0;0,-4;5;0,-4;0;0,-3;4;-2
275089,,,,
275092,-1;4;-1,-1;0;0,-1;2;-5,-4;4;-1
275364,,,,
275367,-1;3;-1,-4;3;-5,-2;2;2,-2;3;1
275638,,,,
275641,-4;2;-3,-5;1;-1,-2;0;0,-3;-1;1
275903,,,,
275906,-2;3;-1,-3;5;0,-4;0;0,-3;2;-2
276177,,,,
276180,-3;1;2,0;0;-1,-10;-1;5,-5;4;0
276458,,,,
276461,-17;4;0,-22;6;-5,-20;0;-4,-20;0;-7
276727,,,,
276730,-18;3;-3,-18;-2;0,-19;4;-3,-20;3;0
276996,,,,
276998,-17;0;-4,-16;-1;-3,-20;3;0,-20;2;1
277267,,,,
277270,-16;2;-6,-18;2;0,-16;0;-4,-19;1;-9
277539,,,,
277549,-17;2;-2,-16;0;-6,-15;4;-1,-15;4;-6
277811,,,,
277814,-13;-1;-1,-10;-2;1,-12;1;0,-13;0;-10
278087,,,,
278094,-15;2;-1,-17;2;0,-16;3;0,-18;0;0
278368,,,,
278371,-18;1;-4,-14;-1;-2,-18;1;-5,-15;1;-1
278643,,,,
278651,-18;1;-4,-20;5;0,-17;5;-6,-17;1;-6
278918,,,,
278921,-16;0;0,-17;6;0,-15;1;-5,-19;1;3
279189,,,,
279196,-15;7;-10,-22;2;-3,-17;1;2,-18;3;-14
279469,,,,
279472,-13;-3;-7,-19;0;-4,-17;6;-9,-16;2;-4
279745,,,,
279748,-18;-1;-10,-15;0;-5,-18;-3;-2,-16;-2;-8
280026,,,,
280029,-14;5;-11,-10;3;-7,-10;5;-2,-10;3;-1
280296,,,,
280299,-9;-3;-8,-9;1;-3,-13;1;0,-9;0;0
280569,,,,
280572,-3;0;-1,-19;2;-1,-11;1;0,-14;1;-2
280845,,,,
280848,-13;2;-6,-8;0;2,-17;-2;-4,-19;2;-10
281207,,,,
281210,-15;-4;12,-14;6;1,-15;10;-1,-18;3;-7
281484,,,,
281487,-14;8;-11,-20;10;1,-17;-1;-3,-19;9;-5
281767,,,,
281771,-14;4;-6,-14;-2;0,-18;-1;1,-13;7;-11
282036,,,,
282039,-18;-4;-3,-12;0;-1,-20;1;-3,-15;0;-9
282318,,,,
282321,-19;0;1,-17;6;-2,-11;4;2,-11;4;7
282592,,,,
282595,-12;2;-4,-7;-5;3,-4;1;1,-8;-3;0
282864,,,,
282867,0;-9;11,-9;2;8,-12;2;-3,-5;0;1
283136,,,,
283139,0;10;-4,-9;8;3,-6;0;1,-3;2;0
283406,,,,
283575,-5;0;7,0;1;-8,0;-3;2,0;9;4
283847,,,,
283850,-1;4;-4,0;2;-5,-3;2;-1,-2;-4;-5
284124,,,,
284132,-2;4;1,-4;0;3,-2;2;-1,-4;4;2
284398,,,,
284401,2;-3;13,0;13;6,-3;4;-3,-1;-1;1
284667,,,,
284677,-7;8;2,-2;3;0,-5;0;7,-4;10;0
284950,,,,
284952,-2;2;-7,3;-4;1,3;3;-1,2;-1;-8
285224,,,,
285228,0;1;-1,0;9;5,-1;7;1,1;-6;2
285512,,,,
285515,-2;-1;2,-2;2;-4,-3;3;5,-4;7;6
285788,,,,
285791,1;0;0,-4;0;13,0;0;1,1;-2;0
286062,,,,
286065,0;2;13,2;2;-2,-6;-1;-1,-4;2;1
286338,,,,
286341,-7;6;-5,3;3;-1,0;-7;16,-3;0;8
286612,,,,
286615,2;3;3,-1;-2;-7,-6;-7;-2,-6;0;5
286888,,,,
286892,0;6;-1,-2;3;1,0;-2;-5,-4;0;5
287170,,,,
287173,-3;-1;4,-1;-2;8,-7;-2;-2,-1;-3;-7
287438,,,,
287441,-4;-2;0,-1;6;3,-10;-1;0,-1;1;-7
287708,,,,
287715,-10;-1;0,-10;3;-3,-7;0;5,-9;-1;-5
287976,,,,
287979,-7;-4;-3,-13;-2;1,-8;-2;-3,-10;0;5
288247,,,,
288257,-9;-6;7,-11;-3;0,-5;1;-1,-10;-3;-11
288528,,,,
288530,-14;0;5,-11;-5;-6,-8;-2;3,-8;-3;-3
288802,,,,
288809,-13;-7;1,-12;0;-4,-13;-5;1,-8;-6;-14
289079,,,,
289081,-15;-7;7,-15;-3;-7,-15;3;1,-13;-4;-4
289348,,,,
289357,-13;-4;-2,-9;0;8,-13;-1;-7,-7;-2;12
289623,,,,
289626,-14;-2;2,-13;-8;8,-7;6;0,-14;-6;-1
289898,,,,
289901,-15;-6;-5,-11;-7;-4,-12;-8;-7,-7;-8;0
290172,,,,
290176,-15;-9;-2,-10;-3;1,-9;-5;-12,-13;0;-4
290450,,,,
290453,-11;-5;-15,-10;-6;-2,-9;-1;0,-9;2;3
290724,,,,
290727,-12;2;10,-14;4;4,-10;0;-6,-14;-3;-6
290993,,,,
290995,-15;1;-9,-16;8;-3,-11;3;-17,-10;-2;-2
291276,,,,
291279,-13;-5;-14,-14;3;-2,-12;0;-1,-14;0;0
291543,,,,
291546,-13;-2;-2,-13;0;-1,-14;-1;-6,-11;-3;-6
291812,,,,
291815,-16;-3;0,-13;0;-5,-12;1;-1,-9;0;8
292087,,,,
292090,-8;-4;-8,-14;-3;-6,-16;0;1,-22;0;-1
292363,,,,
292365,-17;10;0,-11;4;-8,-10;0;-3,-12;-2;-3
292631,,,,
292634,-7;0;-7,-17;2;-4,-14;-7;-12,-16;5;10
292907,,,,
292910,-14;5;-16,-5;0;-9,-10;-2;0,-4;2;12
293182,,,,
293185,-3;7;0,-1;-3;4,-5;0;9,-6;6;0
293463,,,,
293466,-16;-20;16,0;1;0,-5;12;1,-3;-2;-1
293732,,,,
293735,9;0;-8,-10;4;-3,-1;3;-5,-1;1;0
294007,,,,
294016,2;-3;-9,0;6;-6,0;0;-3,-1;3;10
294282,,,,
294285,-3;13;2,-3;1;-1,-4;2;-8,-5;4;5
294558,,,,
294565,-3;9;1,-2;-6;-19,-9;7;7,0;9;-5
294835,,,,
294838,-8;-1;-2,-13;-2;-13,-12;13;23,-9;7;2
295108,,,,
295117,-9;0;-9,-2;9;3,4;5;17,-14;-5;3
295391,,,,
295394,-8;7;0,-1;-1;-1,-10;-9;3,4;6;0
295659,,,,
295662,-19;3;-7,-5;2;-4,-9;-5;-9,4;0;5
295936,,,,
295938,-6;6;11,-14;3;5,-6;-5;-11,-2;-1;-8
296207,,,,
296210,1;-1;-7,-5;3;-4,-2;8;-8,-8;0;-2
296479,,,,
296482,-13;6;1,-7;0;-8,-8;5;-8,-7;-5;-3
296749,,,,
296751,-11;2;1,1;-1;-6,-5;-4;0,3;-3;19
297029,,,,
297032,-7;0;-3,-3;7;-1,-5;0;-1,-12;-2;-1
297298,,,,
297300,-4;-3;0,-7;-6;-4,-4;4;-4,-4;3;-1
297575,,,,
297578,1;0;-1,-3;0;0,-8;1;-1,-8;3;-2
297849,,,,
297852,-9;1;-2,-7;2;-10,-11;6;1,-3;-1;-5
298129,,,,
298131,-2;1;3,-5;9;3,-19;6;-8,-2;-4;-8
298399,,,,
298402,-10;1;-2,-5;8;8,-7;1;2,-5;-2;-16
298669,,,,
298677,6;17;5,0;4;1,2;0;7,-3;0;3
298938,,,,
298941,-1;-5;-7,-2;2;-1,-12;-8;-14,-3;-4;-5
299208,,,,
299215,-6;3;-2,-1;1;-1,-4;4;0,-2;6;-3
299488,,,,
299491,-1;2;-6,1;1;-4,0;3;1,0;-2;-1
299764,,,,
299772,4;5;6,5;-2;-2,5;-2;4,9;11;2
300039,,,,
300042,0;4;-2,10;2;-3,8;3;-1,7;0;-5
300308,,,,
300311,8;-3;-1,8;6;1,6;3;-1,8;6;-2
300589,,,,
300592,10;0;6,10;-2;8,10;1;2,10;4;5
300864,,,,
300867,11;11;-11,6;0;-12,9;4;-3,7;7;-1
301139,,,,
301142,9;-1;1,3;-1;-2,8;-7;2,7;-4;0
301409,,,,
301412,6;2;-2,8;-8;-3,11;-2;-8,7;6;0
301689,,,,
301692,11;-3;2,8;-2;0,14;0;9,10;2;-1
301965,,,,
301968,8;4;1,15;2;-2,6;-2;3,9;0;-2
302243,,,,
302246,16;0;-1,10;2;-5,9;-1;2,11;5;0
302510,,,,
302513,11;0;1,7;0;0,11;6;1,6;-1;-5
302779,,,,
302786,15;-2;7,8;14;-3,-3;2;8,8;-3;1
303048,,,,
303050,14;-1;-3,10;-7;5,8;-1;0,6;-7;-1
303316,,,,
303326,7;-1;-5,18;-8;2,-3;-9;-1,7;-3;-9
303592,,,,
303595,7;-1;-1,2;3;6,13;-7;3,17;3;-1
303865,,,,
303874,10;-3;15,14;1;6,8;6;6,6;0;0
304144,,,,
304147,7;-2;5,7;3;9,3;5;1,3;4;1
304412,,,,
304414,5;7;0,0;12;2,6;6;2,1;5;4
304687,,,,
304690,3;2;1,0;0;0,0;5;-1,0;6;0
304967,,,,
304969,0;5;-4,0;2;1,0;3;5,2;0;2
305231,,,,
305234,-3;8;5,1;-3;4,0;3;0,0;3;0
305506,,,,
305509,0;0;5,0;1;5,0;0;-1,-1;3;2
305787,,,,
305790,5;1;4,0;0;-2,0;3;2,-3;4;2
306067,,,,
306070,3;5;-2,2;0;-4,1;3;0,0;-2;0
306335,,,,
306342,-2;2;1,-7;1;1,1;2;1,0;2;8
306607,,,,
306610,1;1;8,-2;0;3,0;3;-1,2;-1;1
306883,,,,
306891,3;0;-3,0;3;2,-1;-5;-2,-1;3;13
307158,,,,
307161,0;3;3,-2;2;8,2;0;5,-1;3;0
307427,,,,
307434,-4;1;4,0;4;0,2;4;2,0;2;2
307696,,,,
307698,0;-1;1,1;3;0,0;-1;-2,-1;-4;0
307971,,,,
307974,-3;0;2,1;0;0,1;0;2,-1;0;0
308256,,,,
308259,-1;6;2,0;-3;4,0;-2;0,1;0;1
308535,,,,
308538,1;-3;1,0;0;3,-1;4;-5,0;2;-2
308809,,,,
308812,-6;0;5,1;3;-2,0;0;-1,0;3;-1
309085,,,,
309088,-1;0;-4,2;5;0,-3;1;0,-1;-3;1
309363,,,,
309366,0;0;1,-1;0;4,1;1;4,1;0;0
309629,,,,
309633,2;4;5,3;5;6,4;0;0,0;2;2
309898,,,,
309905,1;0;-1,0;0;0,1;0;2,1;0;3
310168,,,,
310171,4;5;0,0;4;-1,0;4;4,1;2;3
310435,,,,
310445,0;3;0,0;2;1,-1;5;5,2;0;1
310712,,,,
310715,2;1;2,0;0;3,1;-4;-2,0;1;0
310986,,,,
310989,0;1;0,5;0;0,5;3;1,0;0;-2
311265,,,,
311268,3;1;5,2;0;3,0;0;3,2;1;0
311544,,,,
311547,2;-1;4,6;0;4,3;0;-1,4;1;5
311820,,,,
311822,6;0;1,7;0;0,5;0;5,6;7;4
312087,,,,
312090,9;2;3,6;1;7,7;-2;2,6;-1;2
312368,,,,
312371,11;5;3,9;1;3,9;0;5,10;5;4
312639,,,,
312641,14;-2;3,12;5;0,11;-2;-3,13;1;1
312912,,,,
312915,16;0;2,19;-1;4,16;0;5,12;1;4
313177,,,,
313180,18;3;0,17;2;6,17;1;7,14;-1;3
313447,,,,
313454,16;2;4,18;4;2,21;2;0,18;0;0
313726,,,,
313730,16;3;10,14;5;10,10;7;8,18;7;4
314004,,,,
314013,15;2;6,15;2;5,14;-2;1,9;2;0
314284,,,,
314287,8;0;-1,7;3;2,4;4;0,8;5;1
314556,,,,
314559,6;2;1,7;2;1,8;3;5,3;1;0
314841,,,,
314844,4;0;-2,4;0;-4,2;1;0,4;5;6
315109,,,,
315112,4;3;6,5;4;7,6;0;2,9;2;0
315384,,,,
315387,3;3;6,4;2;3,4;3;4,1;4;4
315657,,,,
315659,1;1;-1,1;2;0,2;1;0,4;1;1
315934,,,,
315936,1;1;1,-1;2;2,-2;1;-2,-3;1;-2
316206,,,,
316209,-2;0;1,-4;0;0,-5;1;1,-6;3;-2
316477,,,,
316486,-6;0;-1,-3;2;0,-5;6;-4,-8;3;0
316748,,,,
316751,-12;3;-2,-14;2;-6,-16;0;0,-12;1;-5
317025,,,,
317033,-15;1;-2,-14;1;0,-15;2;0,-9;1;-1
317299,,,,
317302,-7;2;0,-6;1;2,-5;0;-1,-2;2;0
317568,,,,
317576,-2;6;0,-1;2;-3,-1;2;-2,0;1;2
317843,,,,
317846,0;3;3,1;7;1,3;6;2,6;5;1
318115,,,,
318118,8;2;2,10;3;1,6;2;2,5;0;2
318387,,,,
318390,6;1;2,7;4;2,4;4;2,2;2;0
318664,,,,
318667,4;1;0,-2;4;1,-6;5;0,0;7;0
318939,,,,
318941,-4;6;1,-1;1;3,-2;3;2,-4;3;0
319207,,,,
319210,-13;4;-2,-17;0;-1,-22;2;-5,-21;1;-5
319486,,,,
319490,-23;0;-5,-22;1;-5,-19;0;-6,-24;4;-6
319765,,,,
319768,-18;4;-9,-17;2;-4,-23;0;-1,-22;4;-4
320038,,,,
320041,-21;1;-6,-23;1;-4,-21;4;-3,-22;2;-5
320308,,,,
320311,-16;1;-5,-22;3;-5,-15;0;-6,-17;1;-5
320583,,,,
320591,-21;3;-5,-20;3;-5,-22;3;-4,-19;1;-3
320859,,,,
320861,-20;1;-5,-19;0;-3,-16;2;-4,-17;0;-5
321128,,,,
321297,-17;2;-3,-13;4;-2,-13;1;-6,-16;2;-1
321559,,,,
321562,-14;1;-2,-17;0;-5,-16;4;-5,-19;3;-2
321829,,,,
321838,-16;1;-2,-17;2;-3,-13;2;-3,-19;4;-3
322110,,,,
322113,-20;3;-1,-18;0;-3,-13;0;-5,-17;0;-4
322385,,,,
322394,-17;0;-4,-22;3;-9,-18;1;-5,-17;3;-4
322660,,,,
322663,-17;2;-1,-14;-3;-2,-17;1;-2,-21;4;-3
322930,,,,
322937,-14;2;-3,-15;-1;-1,-18;-1;-1,-17;0;-12
323198,,,,
323201,-18;5;-3,-18;1;-1,-23;9;-1,-16;1;-11
323474,,,,
323477,-17;4;-4,-11;3;-5,-13;8;-8,-7;4;-7
323749,,,,
323752,-13;-1;-2,-13;10;-3,-12;0;-5,-13;2;-3
324024,,,,
324027,-16;4;0,-10;0;1,-12;5;5,-13;0;0
324299,,,,
324302,-17;2;-7,-19;4;-4,-14;3;1,-18;2;2
324575,,,,
324578,-12;-2;-5,-18;6;-5,-14;6;-1,-19;0;1
324850,,,,
324853,-16;5;-6,-19;0;0,-12;5;-3,-15;0;-3
325125,,,,
325128,-14;3;-4,-18;0;0,-16;4;-4,-20;3;0
325401,,,,
325404,-16;5;7,-18;3;-4,-14;4;0,-23;5;-2
325676,,,,
325679,-13;8;-4,-24;3;3,-15;5;-5,-16;3;-1
325963,,,,
325965,-19;9;1,-15;3;2,-17;7;-8,-14;4;-6
326226,,,,
326228,-19;1;-2,-12;0;-6,-16;0;-5,-15;0;-6
326508,,,,
326511,-18;3;-3,-15;2;-1,-16;4;-4,-16;5;-1
326785,,,,
326788,-12;-2;-1,-16;-4;-12,-16;1;-13,-18;4;2
327056,,,,
327064,-19;0;-3,-8;-5;-15,-14;2;-6,-11;0;-3
327327,,,,
327330,-15;-3;-6,-15;-5;-7,-17;4;1,-15;1;-5
327604,,,,
327611,-16;0;-1,-15;5;-2,-16;5;-7,-17;3;0
327878,,,,
327881,-9;0;-7,-18;0;-4,-17;2;-1,-14;3;-4
328147,,,,
328156,-18;2;-3,-13;2;-3,-10;0;-9,-11;3;-2
328424,,,,
328427,-14;8;0,-11;6;0,-12;-1;-6,-12;7;-2
328694,,,,
328701,-12;2;0,-8;1;-8,-12;1;-2,-10;12;-12
328966,,,,
328969,-11;6;-7,-13;6;-4,-10;9;-8,-16;9;0
329237,,,,
329240,-13;4;-7,-10;2;-7,-20;9;-1,-10;4;-6
329510,,,,
329513,-12;1;0,-17;7;0,-11;-2;-2,-14;2;-14
329788,,,,
329791,-18;4;-7,-13;1;-10,-10;-1;2,-12;10;-2
330063,,,,
330065,-16;7;0,-14;6;-4,-14;5;1,-12;5;0
330330,,,,
330333,-9;3;0,-8;-2;-6,-12;0;2,-13;5;-3
330616,,,,
330618,-10;-1;0,-8;-1;-2,-7;3;-2,-2;1;0
330888,,,,
330891,-9;11;5,-11;0;4,-6;1;2,-17;9;6
331169,,,,
331171,-12;8;1,-8;-11;7,-12;2;0,-3;10;-2
331438,,,,
331441,-4;9;0,-3;0;5,-4;1;-4,-6;4;-3
331713,,,,
331715,0;0;5,-4;8;3,-6;9;11,-5;1;0
331981,,,,
331984,0;0;2,-3;3;0,0;9;-2,-2;10;0
332256,,,,
332263,-3;-1;5,-3;1;1,-2;3;3,-3;4;-1
332527,,,,
332529,-4;5;-2,-2;3;0,-3;1;-2,-4;8;1
332794,,,,
332804,-8;1;-7,-2;3;-2,-5;9;-14,-4;6;-2
333071,,,,
333074,-3;8;1,-2;2;-6,-10;12;-1,-8;13;2
333346,,,,
333353,-1;7;-4,-1;0;-4,1;1;0,-8;1;5
333622,,,,
333625,-4;-1;3,-7;0;-1,0;1;6,-8;-1;6
333895,,,,
333898,-10;5;1,-2;4;-7,-2;-9;2,-3;3;14
334173,,,,
334176,-3;-2;-6,-7;0;-7,-12;2;1,-3;4;0
334447,,,,
334449,-3;0;1,-7;10;-7,0;0;-7,-4;4;-3
334723,,,,
334726,-4;4;-2,-12;2;0,-10;-7;-19,-10;18;13
334998,,,,
335001,-22;-20;-39,-46;8;-10,-15;21;17,0;6;5
335272,,,,
335276,-23;0;-18,-13;-11;-8,-22;17;-17,-11;0;-17
335548,,,,
335551,0;0;-8,-10;0;-10,-3;20;-9,-15;9;-8
335830,,,,
335833,-15;0;2,-12;14;2,-11;0;9,-9;1;-1
336105,,,,
336107,-10;-9;-5,-5;27;2,-22;-14;0,-9;-6;5
336379,,,,
336382,-2;-10;1,0;4;-3,-4;-2;-5,-20;-3;-2
336649,,,,
336652,-4;4;3,-5;7;-1,-5;2;1,-10;0;14
336928,,,,
336931,-15;-4;3,-12;-3;1,-8;-4;3,-12;-6;-4
337200,,,,
337203,-7;6;-1,-4;-3;-6,-10;-5;-3,-7;5;-1
337470,,,,
337478,-12;-5;-8,-4;-8;-11,-10;4;0,2;6;-4
337750,,,,
337753,-16;-5;3,-8;-15;-6,-5;7;1,-4;-3;-2
338026,,,,
338163,-14;0;-1,-14;7;2,-6;1;-6,-8;4;0
338425,,,,
338428,-8;-1;-7,-11;-2;-12,-3;2;-8,-12;0;-12
338704,,,,
338712,-10;-4;-4,-12;0;0,-3;-9;0,-8;9;-2
338976,,,,
338979,-17;7;-2,-8;0;-10,-10;3;-6,-9;-1;-4
339255,,,,
339262,-11;-3;-3,-10;0;-2,-16;-2;-4,-12;4;-2
339526,,,,
339529,-13;7;-3,-16;0;-6,-9;2;-6,-3;-4;-4
339804,,,,
339807,-4;0;-6,-7;-4;-4,-10;1;-8,-9;4;5
340077,,,,
340080,-8;2;-3,-10;3;-13,-12;8;-6,-13;8;-5
340347,,,,
340350,-9;3;-5,-11;2;-5,-16;5;-6,-7;0;-3
340624,,,,
340626,-11;5;6,-12;2;0,0;9;-8,-13;8;-11
340892,,,,
340895,-6;-10;-9,-3;1;-4,-6;9;-2,-4;8;-13
341175,,,,
341177,1;-3;8,-4;-10;-11,7;-1;-14,10;-4;-14
341442,,,,
341444,-4;10;-2,2;0;-24,2;0;32,-15;1;-4
341716,,,,
341720,-13;3;24,-15;0;5,0;-3;-8,-3;15;-7
341986,,,,
341988,3;12;7,9;12;1,1;12;-1,5;7;1
342267,,,,
342269,-7;1;8,1;5;-4,-2;3;0,-4;0;-5
342543,,,,
342545,1;-1;11,-1;1;4,6;-2;-6,-12;-13;1
342817,,,,
342820,-8;3;0,-1;-13;0,-8;-5;2,-3;4;8
343087,,,,
343090,-3;2;-9,-1;0;-3,-2;2;-1,0;-1;-7
343368,,,,
343377,-2;3;3,1;-2;-2,6;0;0,0;1;7
343644,,,,
343646,-2;-3;4,-4;6;3,-5;8;1,2;10;0
343919,,,,
343927,3;1;-2,0;6;5,-1;1;1,-3;0;0
344195,,,,
344198,4;3;-1,-5;11;3,-2;-5;-1,-5;9;-10
344469,,,,
344472,-6;3;1,-3;3;10,-1;7;5,-3;1;8
344757,,,,
344760,1;-1;-10,0;0;-12,0;2;-2,4;3;5
345026,,,,
345029,6;0;-2,-1;-4;3,-2;-1;1,-3;6;3
345306,,,,
345308,5;3;-3,-1;3;4,0;7;-2,-1;7;0
345572,,,,
345575,2;0;-2,7;0;0,4;12;-1,-1;-3;4
345858,,,,
345861,-2;-2;1,3;-5;-3,11;-5;7,1;0;12
346133,,,,
346136,6;1;3,-4;0;1,5;-2;12,11;-2;-4
346411,,,,
346414,8;-2;-3,9;3;0,12;2;2,6;-1;3
346683,,,,
